step_reverse,layer,depth,metric,image_index,value
3,features.1.2,3,cosine,19,0.6953208446502686
3,features.1.2,3,cosine,20,0.6455426216125488
3,features.1.2,3,cosine,21,0.6031181812286377
3,features.1.2,3,cosine,22,0.7018377780914307
3,features.1.2,3,cosine,23,0.6562637090682983
3,features.1.2,3,cosine,24,0.5891212224960327
3,features.1.2,3,cosine,25,0.6875002980232239
3,features.1.2,3,cosine,26,0.6426987648010254
3,features.1.2,3,cosine,27,0.6616758108139038
3,features.1.2,3,cosine,28,0.5908540487289429
3,features.1.2,3,cosine,29,0.7510194778442383
3,features.2,4,L2,0,123001.3515625
3,features.2,4,L2,1,130146.375
3,features.2,4,L2,2,131947.953125
3,features.2,4,L2,3,124244.0078125
3,features.2,4,L2,4,123337.8671875
3,features.2,4,L2,5,108813.125
3,features.2,4,L2,6,87960.140625
3,features.2,4,L2,7,74590.0
3,features.2,4,L2,8,94591.7421875
3,features.2,4,L2,9,101301.4375
3,features.2,4,L2,10,55554.421875
3,features.2,4,L2,11,138900.21875
3,features.2,4,L2,12,108577.5703125
3,features.2,4,L2,13,67932.7890625
3,features.2,4,L2,14,92030.171875
3,features.2,4,L2,15,96780.2890625
3,features.2,4,L2,16,95746.2578125
3,features.2,4,L2,17,136006.515625
3,features.2,4,L2,18,104321.765625
3,features.2,4,L2,19,106557.8984375
3,features.2,4,L2,20,119756.59375
3,features.2,4,L2,21,117990.0078125
3,features.2,4,L2,22,111708.453125
3,features.2,4,L2,23,119884.515625
3,features.2,4,L2,24,102993.671875
3,features.2,4,L2,25,90906.5390625
3,features.2,4,L2,26,100651.8984375
3,features.2,4,L2,27,68086.1015625
3,features.2,4,L2,28,117446.8359375
3,features.2,4,L2,29,65552.328125
3,features.2,4,L2_normalized,0,0.6011332869529724
3,features.2,4,L2_normalized,1,0.7221060395240784
3,features.2,4,L2_normalized,2,0.8043818473815918
3,features.2,4,L2_normalized,3,0.674082338809967
3,features.2,4,L2_normalized,4,0.7203792929649353
3,features.2,4,L2_normalized,5,0.6207398176193237
3,features.2,4,L2_normalized,6,0.45846614241600037
3,features.2,4,L2_normalized,7,0.3744594156742096
3,features.2,4,L2_normalized,8,0.5107634663581848
3,features.2,4,L2_normalized,9,0.45337387919425964
3,features.2,4,L2_normalized,10,0.28444981575012207
3,features.2,4,L2_normalized,11,0.6895803213119507
3,features.2,4,L2_normalized,12,0.6666367053985596
3,features.2,4,L2_normalized,13,0.2935776114463806
3,features.2,4,L2_normalized,14,0.6020151972770691
3,features.2,4,L2_normalized,15,0.46271198987960815
3,features.2,4,L2_normalized,16,0.4457664489746094
3,features.2,4,L2_normalized,17,0.703257143497467
3,features.2,4,L2_normalized,18,0.6428709030151367
3,features.2,4,L2_normalized,19,0.49251529574394226
3,features.2,4,L2_normalized,20,0.5541824698448181
3,features.2,4,L2_normalized,21,0.6360917091369629
3,features.2,4,L2_normalized,22,0.46815937757492065
3,features.2,4,L2_normalized,23,0.5397047996520996
3,features.2,4,L2_normalized,24,0.8983734250068665
3,features.2,4,L2_normalized,25,0.5915773510932922
3,features.2,4,L2_normalized,26,0.6380802989006042
3,features.2,4,L2_normalized,27,0.5462337136268616
3,features.2,4,L2_normalized,28,0.6741421818733215
3,features.2,4,L2_normalized,29,0.42557650804519653
3,features.2,4,cosine,0,0.6994391083717346
3,features.2,4,cosine,1,0.6390197277069092
3,features.2,4,cosine,2,0.597915768623352
3,features.2,4,cosine,3,0.6629961729049683
3,features.2,4,cosine,4,0.6398286819458008
3,features.2,4,cosine,5,0.6896381378173828
3,features.2,4,cosine,6,0.7707668542861938
3,features.2,4,cosine,7,0.8127708435058594
3,features.2,4,cosine,8,0.7446308732032776
3,features.2,4,cosine,9,0.7733525633811951
3,features.2,4,cosine,10,0.8577751517295837
3,features.2,4,cosine,11,0.6552249193191528
3,features.2,4,cosine,12,0.66678786277771
3,features.2,4,cosine,13,0.8532288074493408
3,features.2,4,cosine,14,0.6989997625350952
3,features.2,4,cosine,15,0.7686942219734192
3,features.2,4,cosine,16,0.7772409915924072
3,features.2,4,cosine,17,0.6485140323638916
3,features.2,4,cosine,18,0.6786781549453735
3,features.2,4,cosine,19,0.7538212537765503
3,features.2,4,cosine,20,0.7229127287864685
3,features.2,4,cosine,21,0.6819542050361633
3,features.2,4,cosine,22,0.7659307718276978
3,features.2,4,cosine,23,0.7301476001739502
3,features.2,4,cosine,24,0.5508137345314026
3,features.2,4,cosine,25,0.7042399644851685
3,features.2,4,cosine,26,0.6809920072555542
3,features.2,4,cosine,27,0.7268975973129272
3,features.2,4,cosine,28,0.662930965423584
3,features.2,4,cosine,29,0.7872511744499207
3,features.3.0,5,L2,0,127897.7578125
3,features.3.0,5,L2,1,136977.015625
3,features.3.0,5,L2,2,139910.875
3,features.3.0,5,L2,3,128279.765625
3,features.3.0,5,L2,4,127482.90625
3,features.3.0,5,L2,5,120524.7734375
3,features.3.0,5,L2,6,89622.9453125
3,features.3.0,5,L2,7,74229.90625
3,features.3.0,5,L2,8,101516.5234375
3,features.3.0,5,L2,9,99337.0234375
3,features.3.0,5,L2,10,55311.1015625
3,features.3.0,5,L2,11,134727.546875
3,features.3.0,5,L2,12,118021.8359375
3,features.3.0,5,L2,13,67928.0625
3,features.3.0,5,L2,14,100595.09375
3,features.3.0,5,L2,15,99421.0078125
3,features.3.0,5,L2,16,95284.6015625
3,features.3.0,5,L2,17,145270.875
3,features.3.0,5,L2,18,112262.953125
3,features.3.0,5,L2,19,106618.15625
3,features.3.0,5,L2,20,118760.859375
3,features.3.0,5,L2,21,123794.859375
3,features.3.0,5,L2,22,109576.0546875
3,features.3.0,5,L2,23,120424.5703125
3,features.3.0,5,L2,24,123719.90625
3,features.3.0,5,L2,25,96051.9453125
3,features.3.0,5,L2,26,113548.390625
3,features.3.0,5,L2,27,91442.0078125
3,features.3.0,5,L2,28,126103.015625
3,features.3.0,5,L2,29,82820.59375
3,features.3.0,5,L2_normalized,0,0.6152896285057068
3,features.3.0,5,L2_normalized,1,0.7143686413764954
3,features.3.0,5,L2_normalized,2,0.8033420443534851
3,features.3.0,5,L2_normalized,3,0.6729351282119751
3,features.3.0,5,L2_normalized,4,0.7019671201705933
3,features.3.0,5,L2_normalized,5,0.6417744159698486
3,features.3.0,5,L2_normalized,6,0.4733025133609772
3,features.3.0,5,L2_normalized,7,0.39792487025260925
3,features.3.0,5,L2_normalized,8,0.5364986062049866
3,features.3.0,5,L2_normalized,9,0.45605239272117615
3,features.3.0,5,L2_normalized,10,0.27478089928627014
3,features.3.0,5,L2_normalized,11,0.7023739814758301
3,features.3.0,5,L2_normalized,12,0.7023215293884277
3,features.3.0,5,L2_normalized,13,0.309680700302124
3,features.3.0,5,L2_normalized,14,0.6140913367271423
3,features.3.0,5,L2_normalized,15,0.4759744107723236
3,features.3.0,5,L2_normalized,16,0.4443055987358093
3,features.3.0,5,L2_normalized,17,0.7193045616149902
3,features.3.0,5,L2_normalized,18,0.6589572429656982
3,features.3.0,5,L2_normalized,19,0.4963594675064087
3,features.3.0,5,L2_normalized,20,0.5636762976646423
3,features.3.0,5,L2_normalized,21,0.6339684724807739
3,features.3.0,5,L2_normalized,22,0.4845333397388458
3,features.3.0,5,L2_normalized,23,0.5475926399230957
3,features.3.0,5,L2_normalized,24,0.9513841271400452
3,features.3.0,5,L2_normalized,25,0.6067613363265991
3,features.3.0,5,L2_normalized,26,0.6680275797843933
3,features.3.0,5,L2_normalized,27,0.6617802381515503
3,features.3.0,5,L2_normalized,28,0.6889839768409729
3,features.3.0,5,L2_normalized,29,0.49671274423599243
3,features.3.0,5,cosine,0,0.6924092769622803
3,features.3.0,5,cosine,1,0.6428167819976807
3,features.3.0,5,cosine,2,0.598332405090332
3,features.3.0,5,cosine,3,0.6635680198669434
3,features.3.0,5,cosine,4,0.6490229964256287
3,features.3.0,5,cosine,5,0.6791128516197205
3,features.3.0,5,cosine,6,0.7634243369102478
3,features.3.0,5,cosine,7,0.8010488748550415
3,features.3.0,5,cosine,8,0.7317655086517334
3,features.3.0,5,cosine,9,0.7720410823822021
3,features.3.0,5,cosine,10,0.8626121878623962
3,features.3.0,5,cosine,11,0.648855984210968
3,features.3.0,5,cosine,12,0.6489642858505249
3,features.3.0,5,cosine,13,0.8451598882675171
3,features.3.0,5,cosine,14,0.6929561495780945
3,features.3.0,5,cosine,15,0.7620154619216919
3,features.3.0,5,cosine,16,0.778046727180481
3,features.3.0,5,cosine,17,0.6403571963310242
3,features.3.0,5,cosine,18,0.6708093881607056
3,features.3.0,5,cosine,19,0.7518413066864014
3,features.3.0,5,cosine,20,0.7181624174118042
3,features.3.0,5,cosine,21,0.6830570101737976
3,features.3.0,5,cosine,22,0.7577414512634277
3,features.3.0,5,cosine,23,0.7263388633728027
3,features.3.0,5,cosine,24,0.5244850516319275
3,features.3.0,5,cosine,25,0.6966959834098816
3,features.3.0,5,cosine,26,0.666126549243927
3,features.3.0,5,cosine,27,0.6691823601722717
3,features.3.0,5,cosine,28,0.655530571937561
3,features.3.0,5,cosine,29,0.7516546845436096
3,features.3.1,6,L2,0,138715.421875
3,features.3.1,6,L2,1,147953.546875
3,features.3.1,6,L2,2,150880.328125
3,features.3.1,6,L2,3,135628.296875
3,features.3.1,6,L2,4,135837.125
3,features.3.1,6,L2,5,131926.515625
3,features.3.1,6,L2,6,97753.015625
3,features.3.1,6,L2,7,79770.75
3,features.3.1,6,L2,8,111195.4453125
3,features.3.1,6,L2,9,101522.4921875
3,features.3.1,6,L2,10,57723.70703125
3,features.3.1,6,L2,11,143199.1875
3,features.3.1,6,L2,12,123119.1328125
3,features.3.1,6,L2,13,72326.5546875
3,features.3.1,6,L2,14,109282.484375
3,features.3.1,6,L2,15,109307.0390625
3,features.3.1,6,L2,16,95947.84375
3,features.3.1,6,L2,17,155910.265625
3,features.3.1,6,L2,18,115841.1171875
3,features.3.1,6,L2,19,111465.9140625
3,features.3.1,6,L2,20,124361.5859375
3,features.3.1,6,L2,21,132628.640625
3,features.3.1,6,L2,22,115428.59375
3,features.3.1,6,L2,23,126296.6640625
3,features.3.1,6,L2,24,121517.75
3,features.3.1,6,L2,25,98581.109375
3,features.3.1,6,L2,26,121508.1796875
3,features.3.1,6,L2,27,110337.8515625
3,features.3.1,6,L2,28,132253.90625
3,features.3.1,6,L2,29,95582.640625
3,features.3.1,6,L2_normalized,0,0.6619703769683838
3,features.3.1,6,L2_normalized,1,0.7398010492324829
3,features.3.1,6,L2_normalized,2,0.8482851386070251
3,features.3.1,6,L2_normalized,3,0.694173276424408
3,features.3.1,6,L2_normalized,4,0.7221258878707886
3,features.3.1,6,L2_normalized,5,0.6864804029464722
3,features.3.1,6,L2_normalized,6,0.5104113221168518
3,features.3.1,6,L2_normalized,7,0.4287450611591339
3,features.3.1,6,L2_normalized,8,0.5912282466888428
3,features.3.1,6,L2_normalized,9,0.47838205099105835
3,features.3.1,6,L2_normalized,10,0.28576135635375977
